rows,cols,implementation,sample,order_slot,elapsed_ms,seed
1024,257,workspace_reuse,6,2,0.601413,20260829
1024,257,workspace_fresh,7,0,1.128346,20260829
1024,257,workspace_reuse,7,1,0.572202,20260829
1024,257,warp_wrapper,7,2,1.069459,20260829
1024,257,workspace_reuse,8,0,0.581181,20260829
1024,257,warp_wrapper,8,1,0.951918,20260829
1024,257,workspace_fresh,8,2,0.977836,20260829
1024,257,warp_wrapper,9,0,0.867966,20260829
1024,257,workspace_fresh,9,1,0.922164,20260829
1024,257,workspace_reuse,9,2,0.605933,20260829
1024,257,workspace_fresh,10,0,0.938585,20260829
1024,257,workspace_reuse,10,1,0.653707,20260829
1024,257,warp_wrapper,10,2,0.930881,20260829
1024,257,workspace_reuse,11,0,0.66516,20260829
1024,257,warp_wrapper,11,1,0.993349,20260829
1024,257,workspace_fresh,11,2,0.748805,20260829
1024,257,warp_wrapper,12,0,0.725823,20260829
1024,257,workspace_fresh,12,1,0.751438,20260829
1024,257,workspace_reuse,12,2,0.539403,20260829
1024,257,workspace_fresh,13,0,0.754724,20260829
1024,257,workspace_reuse,13,1,0.479228,20260829
1024,257,warp_wrapper,13,2,0.743539,20260829
1024,257,workspace_reuse,14,0,0.489566,20260829
1024,257,warp_wrapper,14,1,0.770869,20260829
1024,257,workspace_fresh,14,2,0.775197,20260829
1024,257,warp_wrapper,15,0,0.722475,20260829
1024,257,workspace_fresh,15,1,0.734018,20260829
1024,257,workspace_reuse,15,2,0.527398,20260829
1024,257,workspace_fresh,16,0,0.749037,20260829
1024,257,workspace_reuse,16,1,0.522295,20260829
1024,257,warp_wrapper,16,2,0.796033,20260829
1024,257,workspace_reuse,17,0,0.499314,20260829
1024,257,warp_wrapper,17,1,0.789999,20260829
1024,257,workspace_fresh,17,2,0.732002,20260829
1024,257,warp_wrapper,18,0,0.766233,20260829
1024,257,workspace_fresh,18,1,0.776279,20260829
1024,257,workspace_reuse,18,2,0.526771,20260829
1024,257,workspace_fresh,19,0,0.789294,20260829
1024,257,workspace_reuse,19,1,0.48972,20260829
1024,257,warp_wrapper,19,2,0.790137,20260829
1024,257,workspace_reuse,20,0,0.486998,20260829
1024,257,warp_wrapper,20,1,0.796816,20260829
1024,257,workspace_fresh,20,2,0.815988,20260829
1024,512,warp_wrapper,0,0,1.248145,20260829
1024,512,workspace_fresh,0,1,1.490825,20260829
1024,512,workspace_reuse,0,2,0.958162,20260829
1024,512,workspace_fresh,1,0,1.122016,20260829
1024,512,workspace_reuse,1,1,0.864384,20260829
1024,512,warp_wrapper,1,2,1.236675,20260829
1024,512,workspace_reuse,2,0,0.853514,20260829
1024,512,warp_wrapper,2,1,1.107062,20260829
1024,512,workspace_fresh,2,2,1.221457,20260829
1024,512,warp_wrapper,3,0,1.246313,20260829
1024,512,workspace_fresh,3,1,1.145055,20260829
1024,512,workspace_reuse,3,2,0.894881,20260829
1024,512,workspace_fresh,4,0,1.247641,20260829
1024,512,workspace_reuse,4,1,0.991597,20260829
1024,512,warp_wrapper,4,2,1.129871,20260829
1024,512,workspace_reuse,5,0,0.894954,20260829
1024,512,warp_wrapper,5,1,1.128214,20260829
1024,512,workspace_fresh,5,2,1.142114,20260829
1024,512,warp_wrapper,6,0,1.11196,20260829
1024,512,workspace_fresh,6,1,1.142027,20260829
1024,512,workspace_reuse,6,2,0.856692,20260829
1024,512,workspace_fresh,7,0,1.127974,20260829
1024,512,workspace_reuse,7,1,0.83815,20260829
1024,512,warp_wrapper,7,2,1.135053,20260829
1024,512,workspace_reuse,8,0,0.850132,20260829
1024,512,warp_wrapper,8,1,1.108493,20260829
1024,512,workspace_fresh,8,2,1.123317,20260829
1024,512,warp_wrapper,9,0,1.097854,20260829
1024,512,workspace_fresh,9,1,1.100956,20260829
1024,512,workspace_reuse,9,2,0.870932,20260829
1024,512,workspace_fresh,10,0,1.13158,20260829
1024,512,workspace_reuse,10,1,0.844147,20260829
1024,512,warp_wrapper,10,2,1.100484,20260829
1024,512,workspace_reuse,11,0,0.849285,20260829
1024,512,warp_wrapper,11,1,1.118711,20260829
1024,512,workspace_fresh,11,2,1.136096,20260829
1024,512,warp_wrapper,12,0,1.098064,20260829
1024,512,workspace_fresh,12,1,1.1142,20260829
1024,512,workspace_reuse,12,2,0.865292,20260829
1024,512,workspace_fresh,13,0,1.139588,20260829
1024,512,workspace_reuse,13,1,0.903496,20260829
1024,512,warp_wrapper,13,2,1.225758,20260829
1024,512,workspace_reuse,14,0,0.852205,20260829
1024,512,warp_wrapper,14,1,1.116661,20260829
1024,512,workspace_fresh,14,2,1.10308,20260829
1024,512,warp_wrapper,15,0,1.087914,20260829
1024,512,workspace_fresh,15,1,1.114496,20260829
1024,512,workspace_reuse,15,2,0.857909,20260829
1024,512,workspace_fresh,16,0,1.123719,20260829
1024,512,workspace_reuse,16,1,0.853338,20260829
1024,512,warp_wrapper,16,2,1.111074,20260829
1024,512,workspace_reuse,17,0,0.861444,20260829
1024,512,warp_wrapper,17,1,1.101311,20260829
1024,512,workspace_fresh,17,2,1.104543,20260829
1024,512,warp_wrapper,18,0,1.103421,20260829
1024,512,workspace_fresh,18,1,1.090916,20260829
1024,512,workspace_reuse,18,2,0.860381,20260829
1024,512,workspace_fresh,19,0,1.122575,20260829
1024,512,workspace_reuse,19,1,0.859823,20260829
1024,512,warp_wrapper,19,2,1.125082,20260829
1024,512,workspace_reuse,20,0,0.872517,20260829
1024,512,warp_wrapper,20,1,1.105029,20260829
1024,512,workspace_fresh,20,2,1.124291,20260829
1024,1024,warp_wrapper,0,0,1.857138,20260829
1024,1024,workspace_fresh,0,1,1.894607,20260829
1024,1024,workspace_reuse,0,2,1.48603,20260829
1024,1024,workspace_fresh,1,0,1.831264,20260829
1024,1024,workspace_reuse,1,1,1.491777,20260829
