rows,cols,implementation,dispatch,scope,sample,order_slot,launches,elapsed_ms,seed
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,20,0,1,0.031967,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,20,1,1,0.022989,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,20,2,1,0.021628,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,0,0,100,0.00310752004385,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,0,1,100,0.00257728010416,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,0,2,100,0.00231071993709,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,0,0,1,0.0265,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,0,1,1,0.02403,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,0,2,1,0.023728,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,1,0,100,0.00259487986565,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,1,1,100,0.00227807998657,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,1,2,100,0.00309792011976,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,1,0,1,0.025955,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,1,1,1,0.022936,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,1,2,1,0.025149,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,2,0,100,0.00229727998376,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,2,1,100,0.00308703988791,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,2,2,100,0.00257696002722,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,2,0,1,0.024984,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,2,1,1,0.024192,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,2,2,1,0.023572,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,3,0,100,0.00310240000486,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,3,1,100,0.00257248014212,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,3,2,100,0.00228223994374,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,3,0,1,0.024369,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,3,1,1,0.024032,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,3,2,1,0.023375,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,4,0,100,0.00263680011034,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,4,1,100,0.00228415995836,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,4,2,100,0.00308768004179,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,4,0,1,0.037191,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,4,1,1,0.022874,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,4,2,1,0.025163,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,5,0,100,0.00229215994477,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,5,1,100,0.00309152007103,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,5,2,100,0.00258047997952,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,5,0,1,0.024359,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,5,1,1,0.024569,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,5,2,1,0.023441,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,6,0,100,0.00309983998537,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,6,1,100,0.00258751988411,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,6,2,100,0.00228415995836,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,6,0,1,0.025943,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,6,1,1,0.023771,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,6,2,1,0.023453,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,7,0,100,0.0025900799036,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,7,1,100,0.00228960007429,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,7,2,100,0.00309024006128,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,7,0,1,0.024519,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,7,1,1,0.023669,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,7,2,1,0.024274,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,8,0,100,0.00230911999941,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,8,1,100,0.0030895999074,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,8,2,100,0.00257952004671,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,8,0,1,0.025789,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,8,1,1,0.024398,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,8,2,1,0.024637,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,9,0,100,0.00311040014029,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,9,1,100,0.00257568001747,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,9,2,100,0.002280959934,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,9,0,1,0.026083,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,9,1,1,0.023808,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,9,2,1,0.024464,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,10,0,100,0.0025891199708,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,10,1,100,0.00228512004018,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,10,2,100,0.00308768004179,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,10,0,1,0.025841,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,10,1,1,0.025195,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,10,2,1,0.024734,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,11,0,100,0.00229440003633,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,11,1,100,0.00308479994535,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,11,2,100,0.00257440000772,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,11,0,1,0.02414,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,11,1,1,0.024265,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,11,2,1,0.024478,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,12,0,100,0.00310463994741,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,12,1,100,0.00257535994053,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,12,2,100,0.00227935999632,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,12,0,1,0.026882,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,12,1,1,0.023669,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,12,2,1,0.023562,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,13,0,100,0.00259391993284,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,13,1,100,0.00228671997786,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,13,2,100,0.00308160007,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,13,0,1,0.025047,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,13,1,1,0.030232,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,13,2,1,0.025546,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,14,0,100,0.00229727998376,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,14,1,100,0.00308384001255,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,14,2,100,0.00257728010416,20260829
7,37,cuda_warp_register,warp_reg4,end_to_end_wall,14,0,1,0.02461,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,14,1,1,0.023783,20260829
7,37,cuda_block_shuffle,block_shuffle256,end_to_end_wall,14,2,1,0.023547,20260829
7,37,cuda_naive,block_shared256,batched_event_per_launch,15,0,100,0.0031107199192,20260829
7,37,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,15,1,100,0.00257568001747,20260829
7,37,cuda_warp_register,warp_reg4,batched_event_per_launch,15,2,100,0.00228384003043,20260829
7,37,cuda_naive,block_shared256,end_to_end_wall,15,0,1,0.025796,20260829
