rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
7,37,kernel_lab_custom,resident_cuda_event_per_call,18,1,0.00685343980789,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,19,0,0.00684863984585,20260829
7,37,torch_softmax,resident_cuda_event_per_call,19,1,0.00606944024563,20260829
7,37,torch_softmax,resident_cuda_event_per_call,20,0,0.00603615999222,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,20,1,0.00704959988594,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,0,0,0.0956188887358,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0,1,0.0513028353453,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,1,0,0.0527780503035,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,1,1,0.0445675104856,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,2,0,0.0398177653551,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,2,1,0.0430252403021,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,3,0,0.050475820899,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,3,1,0.0422745943069,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,4,0,0.0389348715544,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,4,1,0.0421274453402,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,5,0,0.0407416373491,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,5,1,0.0394750386477,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,6,0,0.0388342887163,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,6,1,0.0413451343775,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,7,0,0.0528320670128,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,7,1,0.0466294586658,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,8,0,0.0394117087126,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,8,1,0.043211504817,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,9,0,0.042513012886,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,9,1,0.0487789511681,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,10,0,0.0406745821238,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,10,1,0.0446494668722,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,11,0,0.0411663204432,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,11,1,0.0404603779316,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,12,0,0.0390745699406,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,12,1,0.0413432717323,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,13,0,0.0421348959208,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,13,1,0.0533126294613,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,14,0,0.0557620078325,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,14,1,0.0618305057287,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,15,0,0.0680070370436,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,15,1,0.0498108565807,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,16,0,0.0398587435484,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,16,1,0.0440590083599,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,17,0,0.0403728336096,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,17,1,0.039741396904,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,18,0,0.03931671381,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,18,1,0.0413488596678,20260829
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,19,0,0.0574495643377,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,19,1,0.0409446656704,20260829
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,20,0,0.0389907509089,20260829
